date,Days after 5/1,RM E4,RM E5,RM L4,RM M4
2019/5/2,1,102.9,101,108.6,107.5
2019/5/6,5,66.3,68.2,70.2,70.8
2019/5/8,7,78.3,76.1,83.3,80.6
2019/5/10,9,76.9,78.8,86.1,84
2019/4/30,-1,74.2,81.7,85.7,85.4
2019/5/15,14,86.5,92.8,93.8,95.4
2019/5/16,15,64.9,64.7,67.4,66.8
2019/5/17,16,72.7,76.2,75.5,76.1
2019/5/18,17,70.5,72.2,80.3,79.3
2019/5/20,19,51.1,50.9,56,56
2019/4/29,-2,63.7,91.4,81.5,65.6
2019/5/21,20,74.3,76.2,81.7,79.1
2019/5/22,21,55.9,57,62,60.5
2019/5/23,22,70.7,71.3,79.7,78.7
2019/5/24,23,85.1,88.8,92.5,93.2
2019/5/25,24,69,71.8,75.2,78.2
2019/5/26,25,67.9,69.3,74.6,75.4
2019/5/27,26,61.9,63.1,67,67.7
2019/5/28,27,65.2,67.9,79.4,75.9
2019/5/31,30,57.3,64.5,63.7,61
2019/6/13,43,44.5,41.8,44.8,41.3
2019/4/25,-6,83.4,84.7,91.3,89.9
2019/4/23,-8,75.2,80.5,84.8,83.3
2019/4/17,-14,64.25,69.87,70.6,72
